West,,
Minnesota Timberwolves,55,24,
Denver Nuggets,55,24,
Oklahoma City Thunder,54,25,
Los Angeles Clippers,51,28,
Dallas Mavericks,49,30,
New Orleans Pelicans,47,32,
Phoenix Suns,46,33,
Sacramento Kings,45,34,
Los Angeles Lakers,45,35,
Golden State Warriors,44,35,
Houston Rockets,39,40,
Utah Jazz,29,50,
Memphis Grizzlies,27,52,
Portland Trail Blazers,21,58,
San Antonio Spurs,20,59,
East,,
Boston Celtics,62,17,
Milwaukee Bucks,48,31,
New York Knicks,47,32,
Orlando Magic,46,33,
Cleveland Cavaliers,46,33,
Indiana Pacers,46,34,
Philadelphia 76ers,45,35,
Miami Heat,44,35,
Chicago Bulls,37,42,
Atlanta Hawks,36,43,
Brooklyn Nets,31,48,
Toronto Raptors,25,54,
Charlotte Hornets,19,60,
Washington Wizards,15,65,
Detroit Pistons,13,66,
